Protein,Encoding,Model,Acquisition,Timestep,Mean,Std
GB1,AA,Boosting Ensemble,GREEDY,1,0.010112166,0.004871179
GB1,AA,Boosting Ensemble,GREEDY,2,0.02138561,0.007113626
GB1,AA,Boosting Ensemble,GREEDY,3,0.043239295,0.011129089
GB1,AA,Boosting Ensemble,GREEDY,4,0.04614097,0.011136424
GB1,AA,Boosting Ensemble,GREEDY,5,0.05010885,0.0114544965
GB1,AA,Boosting Ensemble,GREEDY,6,0.05837512,0.012796315
GB1,AA,Boosting Ensemble,GREEDY,7,0.059310794,0.012747431
GB1,AA,Boosting Ensemble,GREEDY,8,0.06472868,0.012847764
GB1,AA,Boosting Ensemble,GREEDY,9,0.06894481,0.012902607
GB1,AA,Boosting Ensemble,GREEDY,10,0.080643415,0.013675455
GB1,AA,Boosting Ensemble,GREEDY,11,0.08089501,0.013656723
GB1,AA,Boosting Ensemble,GREEDY,12,0.0824855,0.01361835
GB1,AA,Boosting Ensemble,GREEDY,13,0.0824855,0.01361835
GB1,AA,Boosting Ensemble,GREEDY,14,0.09467423,0.014670292
GB1,AA,Boosting Ensemble,GREEDY,15,0.102220535,0.015100239
GB1,AA,Boosting Ensemble,GREEDY,16,0.10277456,0.015056605
GB1,AA,Boosting Ensemble,GREEDY,17,0.10525912,0.015377019
GB1,AA,Boosting Ensemble,GREEDY,18,0.10545999,0.015358492
GB1,AA,Boosting Ensemble,GREEDY,19,0.107556224,0.01523924
GB1,AA,Boosting Ensemble,GREEDY,20,0.10988426,0.0151658505
GB1,AA,Boosting Ensemble,GREEDY,21,0.11442,0.015245192
GB1,AA,Boosting Ensemble,GREEDY,22,0.12041777,0.016005112
GB1,AA,Boosting Ensemble,GREEDY,23,0.12203413,0.015897105
GB1,AA,Boosting Ensemble,GREEDY,24,0.12277043,0.015826702
GB1,AA,Boosting Ensemble,GREEDY,25,0.12294036,0.01584692
GB1,AA,Boosting Ensemble,GREEDY,26,0.12894452,0.015908645
GB1,AA,Boosting Ensemble,GREEDY,27,0.13633668,0.016715784
GB1,AA,Boosting Ensemble,GREEDY,28,0.14219624,0.016993783
GB1,AA,Boosting Ensemble,GREEDY,29,0.14451385,0.016918374
GB1,AA,Boosting Ensemble,GREEDY,30,0.1487289,0.016948564
GB1,AA,Boosting Ensemble,GREEDY,31,0.14914244,0.016901249
GB1,AA,Boosting Ensemble,GREEDY,32,0.15379953,0.016773518
