Protein,Encoding,Model,Acquisition,Timestep,Mean,Std
GB1,AA,Boosting Ensemble,GREEDY,384,0.4710285742693693,0.013241819276366059
GB1,AA,Boosting Ensemble,GREEDY,385,0.5128467292571246,0.01308020166266761
GB1,AA,Boosting Ensemble,GREEDY,386,0.5328670101899793,0.013277132106347995
GB1,AA,Boosting Ensemble,GREEDY,387,0.546610996347155,0.012796681263781008
GB1,AA,Boosting Ensemble,GREEDY,388,0.5573183139283467,0.013138572093892827
GB1,AA,Boosting Ensemble,GREEDY,389,0.5653880235873086,0.013719003422205923
GB1,AA,Boosting Ensemble,GREEDY,390,0.5756381030196152,0.013725719721933883
GB1,AA,Boosting Ensemble,GREEDY,391,0.584277567244944,0.013916026975154584
GB1,AA,Boosting Ensemble,GREEDY,392,0.5897083245573237,0.01366605434402503
GB1,AA,Boosting Ensemble,GREEDY,393,0.5957184229395543,0.014182915301084965
GB1,AA,Boosting Ensemble,GREEDY,394,0.5989400909542733,0.0144715130212548
GB1,AA,Boosting Ensemble,GREEDY,395,0.6031518399733844,0.014365507551469937
GB1,AA,Boosting Ensemble,GREEDY,396,0.612084801276338,0.014583770353803737
GB1,AA,Boosting Ensemble,GREEDY,397,0.6122904350118843,0.014558986702019348
GB1,AA,Boosting Ensemble,GREEDY,398,0.6245401599431111,0.015447738436091514
GB1,AA,Boosting Ensemble,GREEDY,399,0.6280844242071323,0.01590738752737478
GB1,AA,Boosting Ensemble,GREEDY,400,0.6360052132152036,0.016227990207078175
GB1,AA,Boosting Ensemble,GREEDY,401,0.6384678472540226,0.016530397515563774
GB1,AA,Boosting Ensemble,GREEDY,402,0.6401797401870248,0.01636627181560133
GB1,AA,Boosting Ensemble,GREEDY,403,0.6446375564536093,0.01636436289976471
GB1,AA,Boosting Ensemble,GREEDY,404,0.6460478045058302,0.01622396474887557
GB1,AA,Boosting Ensemble,GREEDY,405,0.6481424589352116,0.0160373781684963
GB1,AA,Boosting Ensemble,GREEDY,406,0.6559773678091604,0.01627546759603418
GB1,AA,Boosting Ensemble,GREEDY,407,0.6640325404267614,0.016171909715761434
GB1,AA,Boosting Ensemble,GREEDY,408,0.6680511915846165,0.016295258823397142
GB1,AA,Boosting Ensemble,GREEDY,409,0.6705538855270896,0.016110113120795706
GB1,AA,Boosting Ensemble,GREEDY,410,0.6705538855270896,0.016110113120795706
GB1,AA,Boosting Ensemble,GREEDY,411,0.6738870548902582,0.01616859179019403
GB1,AA,Boosting Ensemble,GREEDY,412,0.6779752676179303,0.015920960796517763
GB1,AA,Boosting Ensemble,GREEDY,413,0.6825910368074148,0.015749822030227404
GB1,AA,Boosting Ensemble,GREEDY,414,0.6836461331528936,0.015627121259901264
GB1,AA,Boosting Ensemble,GREEDY,415,0.6861460705661548,0.016146197719623192
GB1,AA,Boosting Ensemble,GREEDY,416,0.6869858869893228,0.01617600685715742
GB1,AA,Boosting Ensemble,GREEDY,417,0.6884421834465132,0.016150614999249493
GB1,AA,Boosting Ensemble,GREEDY,418,0.6893327617359146,0.015963074263391212
GB1,AA,Boosting Ensemble,GREEDY,419,0.6941043324067293,0.01609518569929651
GB1,AA,Boosting Ensemble,GREEDY,420,0.7012075009487868,0.0165584047124688
GB1,AA,Boosting Ensemble,GREEDY,421,0.7025819523693548,0.016356221895762874
GB1,AA,Boosting Ensemble,GREEDY,422,0.7029676097912598,0.01634446926624742
GB1,AA,Boosting Ensemble,GREEDY,423,0.7029676097912598,0.01634446926624742
GB1,AA,Boosting Ensemble,GREEDY,424,0.7054148331931591,0.01645003237571256
GB1,AA,Boosting Ensemble,GREEDY,425,0.7068141787814768,0.01641163306590674
GB1,AA,Boosting Ensemble,GREEDY,426,0.7079754141153904,0.016386945032033393
GB1,AA,Boosting Ensemble,GREEDY,427,0.7095555365886366,0.016005103885629583
GB1,AA,Boosting Ensemble,GREEDY,428,0.7129886777053842,0.015981938674279383
GB1,AA,Boosting Ensemble,GREEDY,429,0.7159212400771756,0.016019219614828446
GB1,AA,Boosting Ensemble,GREEDY,430,0.720644932104654,0.015896894046573795
GB1,AA,Boosting Ensemble,GREEDY,431,0.7212828945279635,0.01584463689082733
GB1,AA,Boosting Ensemble,GREEDY,432,0.7234973933912896,0.01573770439059202
GB1,AA,Boosting Ensemble,GREEDY,433,0.7243157260246367,0.015716161547294983
GB1,AA,Boosting Ensemble,GREEDY,434,0.7282150090262154,0.01607524863641174
GB1,AA,Boosting Ensemble,GREEDY,435,0.7291257074975233,0.016058402287681975
GB1,AA,Boosting Ensemble,GREEDY,436,0.7300179860479341,0.015902081853598347
GB1,AA,Boosting Ensemble,GREEDY,437,0.7318572215644003,0.015723279004510923
GB1,AA,Boosting Ensemble,GREEDY,438,0.7320823330656656,0.015717234535934318
GB1,AA,Boosting Ensemble,GREEDY,439,0.7344539327192268,0.01570642152199311
GB1,AA,Boosting Ensemble,GREEDY,440,0.7379340587056313,0.01565154955817301
GB1,AA,Boosting Ensemble,GREEDY,441,0.7379340587056313,0.01565154955817301
GB1,AA,Boosting Ensemble,GREEDY,442,0.7379340587056313,0.01565154955817301
GB1,AA,Boosting Ensemble,GREEDY,443,0.7388964095478532,0.015539322163693185
GB1,AA,Boosting Ensemble,GREEDY,444,0.7388964095478532,0.015539322163693185
GB1,AA,Boosting Ensemble,GREEDY,445,0.7402993150646906,0.01560284683014178
GB1,AA,Boosting Ensemble,GREEDY,446,0.7402993150646906,0.01560284683014178
GB1,AA,Boosting Ensemble,GREEDY,447,0.7402993150646906,0.01560284683014178
GB1,AA,Boosting Ensemble,GREEDY,448,0.7406562904473453,0.01556003743348186
GB1,AA,Boosting Ensemble,GREEDY,449,0.7411483763899122,0.015473052698081075
GB1,AA,Boosting Ensemble,GREEDY,450,0.7411483763899122,0.015473052698081075
GB1,AA,Boosting Ensemble,GREEDY,451,0.741581735987902,0.01542836878453638
GB1,AA,Boosting Ensemble,GREEDY,452,0.741581735987902,0.01542836878453638
GB1,AA,Boosting Ensemble,GREEDY,453,0.7428878764468092,0.015308993500824174
GB1,AA,Boosting Ensemble,GREEDY,454,0.7428878764468092,0.015308993500824174
GB1,AA,Boosting Ensemble,GREEDY,455,0.7429606123320651,0.015300766704128423
GB1,AA,Boosting Ensemble,GREEDY,456,0.7465553444513198,0.015177754590160915
GB1,AA,Boosting Ensemble,GREEDY,457,0.7465553444513198,0.015177754590160915
GB1,AA,Boosting Ensemble,GREEDY,458,0.7465553444513198,0.015177754590160915
GB1,AA,Boosting Ensemble,GREEDY,459,0.7465553444513198,0.015177754590160915
GB1,AA,Boosting Ensemble,GREEDY,460,0.7465553444513198,0.015177754590160915
GB1,AA,Boosting Ensemble,GREEDY,461,0.7465553444513198,0.015177754590160915
GB1,AA,Boosting Ensemble,GREEDY,462,0.7465553444513198,0.015177754590160915
GB1,AA,Boosting Ensemble,GREEDY,463,0.7471590647082601,0.015112420084122549
GB1,AA,Boosting Ensemble,GREEDY,464,0.7486897637836882,0.01515585425427166
GB1,AA,Boosting Ensemble,GREEDY,465,0.7493725492199403,0.015167465675991839
GB1,AA,Boosting Ensemble,GREEDY,466,0.752132319982828,0.015524896074071272
GB1,AA,Boosting Ensemble,GREEDY,467,0.752132319982828,0.015524896074071272
GB1,AA,Boosting Ensemble,GREEDY,468,0.752132319982828,0.015524896074071272
GB1,AA,Boosting Ensemble,GREEDY,469,0.752132319982828,0.015524896074071272
GB1,AA,Boosting Ensemble,GREEDY,470,0.7555347503961632,0.015490848984715979
GB1,AA,Boosting Ensemble,GREEDY,471,0.7595420562393886,0.015364824731694341
GB1,AA,Boosting Ensemble,GREEDY,472,0.7595420562393886,0.015364824731694341
GB1,AA,Boosting Ensemble,GREEDY,473,0.7600224435284769,0.015280235901003112
GB1,AA,Boosting Ensemble,GREEDY,474,0.761692302101982,0.015120279327490254
GB1,AA,Boosting Ensemble,GREEDY,475,0.7619413429124853,0.015096819360300077
GB1,AA,Boosting Ensemble,GREEDY,476,0.7619413429124853,0.015096819360300077
GB1,AA,Boosting Ensemble,GREEDY,477,0.7619413429124853,0.015096819360300077
GB1,AA,Boosting Ensemble,GREEDY,478,0.7623359164566637,0.015129458989334175
GB1,AA,Boosting Ensemble,GREEDY,479,0.7623359164566637,0.015129458989334175
GB1,AA,Boosting Ensemble,GREEDY,480,0.7623359164566637,0.015129458989334175
GB1,AA,Boosting Ensemble,TS,384,0.4710285742693693,0.013241819276366059
GB1,AA,Boosting Ensemble,TS,385,0.49488819265302464,0.013654194860178498
GB1,AA,Boosting Ensemble,TS,386,0.5221378668425392,0.014077946005441341
GB1,AA,Boosting Ensemble,TS,387,0.5448584299038938,0.013123119195288172
GB1,AA,Boosting Ensemble,TS,388,0.5599973732864076,0.013296084635078005
GB1,AA,Boosting Ensemble,TS,389,0.5704669089185221,0.014057648260866692
GB1,AA,Boosting Ensemble,TS,390,0.5762864737825446,0.014193199538391682
GB1,AA,Boosting Ensemble,TS,391,0.5816424226007033,0.014539105587881152
GB1,AA,Boosting Ensemble,TS,392,0.5879833991442434,0.014951813599110918
GB1,AA,Boosting Ensemble,TS,393,0.5922741292242291,0.014768114516900903
GB1,AA,Boosting Ensemble,TS,394,0.5994466248567547,0.014427639603541436
GB1,AA,Boosting Ensemble,TS,395,0.6014150391167497,0.015067301961707703
GB1,AA,Boosting Ensemble,TS,396,0.605417973771876,0.0152292145115329
GB1,AA,Boosting Ensemble,TS,397,0.6114142201873325,0.015248441702330013
GB1,AA,Boosting Ensemble,TS,398,0.6205015686738371,0.015793342408671807
GB1,AA,Boosting Ensemble,TS,399,0.6235304372388131,0.015423711874396359
GB1,AA,Boosting Ensemble,TS,400,0.6279255588063349,0.015432920033904085
GB1,AA,Boosting Ensemble,TS,401,0.6304803403661536,0.015198211675940284
GB1,AA,Boosting Ensemble,TS,402,0.6316381676112532,0.014949245638564
GB1,AA,Boosting Ensemble,TS,403,0.6327880562006556,0.014885503513357566
GB1,AA,Boosting Ensemble,TS,404,0.635862128960164,0.014563721926562594
GB1,AA,Boosting Ensemble,TS,405,0.6374163944631128,0.014602166379503874
GB1,AA,Boosting Ensemble,TS,406,0.6375737105181565,0.014579012271072368
GB1,AA,Boosting Ensemble,TS,407,0.641558460507816,0.015064870087108606
GB1,AA,Boosting Ensemble,TS,408,0.6436559444702497,0.014880358766324783
GB1,AA,Boosting Ensemble,TS,409,0.6462603696230955,0.015104156264870562
GB1,AA,Boosting Ensemble,TS,410,0.6472989449187196,0.015050620081627428
GB1,AA,Boosting Ensemble,TS,411,0.647997565438398,0.014907140716630548
GB1,AA,Boosting Ensemble,TS,412,0.648717326400284,0.014950976357060492
GB1,AA,Boosting Ensemble,TS,413,0.6487175072289184,0.01495096987448027
GB1,AA,Boosting Ensemble,TS,414,0.6499135496252755,0.014946019808019588
GB1,AA,Boosting Ensemble,TS,415,0.6512020032913426,0.014944769314289398
GB1,AA,Boosting Ensemble,TS,416,0.6567375148947154,0.015098423022395014
GB1,AA,Boosting Ensemble,TS,417,0.6638769741959698,0.015088769288989846
GB1,AA,Boosting Ensemble,TS,418,0.6639547091877869,0.015082649074385378
GB1,AA,Boosting Ensemble,TS,419,0.6675854751816108,0.01518113528289227
GB1,AA,Boosting Ensemble,TS,420,0.6683840491973865,0.015130172666611307
GB1,AA,Boosting Ensemble,TS,421,0.6698275019954691,0.015185514924274102
GB1,AA,Boosting Ensemble,TS,422,0.6704230828019124,0.015145652350840772
GB1,AA,Boosting Ensemble,TS,423,0.6732057946662322,0.014895131016876974
GB1,AA,Boosting Ensemble,TS,424,0.6756580266963657,0.015003498260377357
GB1,AA,Boosting Ensemble,TS,425,0.6771690855783989,0.015012218646176382
GB1,AA,Boosting Ensemble,TS,426,0.6772979965770498,0.014997964812730807
GB1,AA,Boosting Ensemble,TS,427,0.6800244320379181,0.014733737815179563
GB1,AA,Boosting Ensemble,TS,428,0.6811236331768743,0.01470184407802159
GB1,AA,Boosting Ensemble,TS,429,0.6832755031906801,0.014858360789639452
GB1,AA,Boosting Ensemble,TS,430,0.6847477307371517,0.014792571248456355
GB1,AA,Boosting Ensemble,TS,431,0.6847477307371517,0.014792571248456355
GB1,AA,Boosting Ensemble,TS,432,0.6890720855242107,0.01494261448020021
GB1,AA,Boosting Ensemble,TS,433,0.6890720855242107,0.01494261448020021
GB1,AA,Boosting Ensemble,TS,434,0.6936294393071746,0.014793564617464736
GB1,AA,Boosting Ensemble,TS,435,0.6936294393071746,0.014793564617464736
GB1,AA,Boosting Ensemble,TS,436,0.6936294393071746,0.014793564617464736
GB1,AA,Boosting Ensemble,TS,437,0.6958057500369901,0.014903413616348596
GB1,AA,Boosting Ensemble,TS,438,0.6958057500369901,0.014903413616348596
GB1,AA,Boosting Ensemble,TS,439,0.7009717295514977,0.01501560476905806
GB1,AA,Boosting Ensemble,TS,440,0.7045154258656618,0.014674512613425993
GB1,AA,Boosting Ensemble,TS,441,0.7078639652470109,0.014936657080774633
GB1,AA,Boosting Ensemble,TS,442,0.7085232819588674,0.015000403938513995
GB1,AA,Boosting Ensemble,TS,443,0.7093229864303735,0.015139818436110295
GB1,AA,Boosting Ensemble,TS,444,0.7097103462507732,0.015127485042823073
GB1,AA,Boosting Ensemble,TS,445,0.710251563709491,0.01511649374878879
GB1,AA,Boosting Ensemble,TS,446,0.7124326355757827,0.015194342215184148
GB1,AA,Boosting Ensemble,TS,447,0.7165924354754987,0.015166761510959293
GB1,AA,Boosting Ensemble,TS,448,0.716764009251018,0.015132295146057531
GB1,AA,Boosting Ensemble,TS,449,0.7187324235110131,0.015529312924400634
GB1,AA,Boosting Ensemble,TS,450,0.7187324235110131,0.015529312924400634
GB1,AA,Boosting Ensemble,TS,451,0.7191764374077831,0.015582145610706193
GB1,AA,Boosting Ensemble,TS,452,0.7191764374077831,0.015582145610706193
GB1,AA,Boosting Ensemble,TS,453,0.7195131468242183,0.015509836882916869
GB1,AA,Boosting Ensemble,TS,454,0.7195131468242183,0.015509836882916869
GB1,AA,Boosting Ensemble,TS,455,0.7202187315607138,0.015443191254609578
GB1,AA,Boosting Ensemble,TS,456,0.7218591358318573,0.015680493143472262
GB1,AA,Boosting Ensemble,TS,457,0.7256185416278469,0.01570442546761697
GB1,AA,Boosting Ensemble,TS,458,0.7269301396618681,0.015726849386931394
GB1,AA,Boosting Ensemble,TS,459,0.7283294852501858,0.015658839343295212
GB1,AA,Boosting Ensemble,TS,460,0.7289474033421486,0.015558481937253382
GB1,AA,Boosting Ensemble,TS,461,0.7297424864158817,0.015457252250973346
GB1,AA,Boosting Ensemble,TS,462,0.7309111962043706,0.015705932689658014
GB1,AA,Boosting Ensemble,TS,463,0.7320505080085848,0.01559129465945967
GB1,AA,Boosting Ensemble,TS,464,0.7340467725929583,0.015568642739790722
GB1,AA,Boosting Ensemble,TS,465,0.7375983016994248,0.015485515554071174
GB1,AA,Boosting Ensemble,TS,466,0.7395567198935649,0.015518256676470513
GB1,AA,Boosting Ensemble,TS,467,0.7395567198935649,0.015518256676470513
GB1,AA,Boosting Ensemble,TS,468,0.7399036940109445,0.015454778584613778
GB1,AA,Boosting Ensemble,TS,469,0.7406998977855843,0.015344454079746234
GB1,AA,Boosting Ensemble,TS,470,0.7406998977855843,0.015344454079746234
GB1,AA,Boosting Ensemble,TS,471,0.7427069444678499,0.015133802567402781
GB1,AA,Boosting Ensemble,TS,472,0.7442376435432779,0.015183681687738388
GB1,AA,Boosting Ensemble,TS,473,0.7446344265019924,0.015171693644400767
GB1,AA,Boosting Ensemble,TS,474,0.7446344265019924,0.015171693644400767
GB1,AA,Boosting Ensemble,TS,475,0.7462637607196365,0.014873824006895365
GB1,AA,Boosting Ensemble,TS,476,0.7464007103287241,0.01488495753837
GB1,AA,Boosting Ensemble,TS,477,0.7464007103287241,0.01488495753837
GB1,AA,Boosting Ensemble,TS,478,0.7464007103287241,0.01488495753837
GB1,AA,Boosting Ensemble,TS,479,0.7508257594974921,0.015094182826702596
GB1,AA,Boosting Ensemble,TS,480,0.7508257594974921,0.015094182826702596
GB1,AA,Boosting Ensemble,UCB,384,0.4710285742693693,0.013241819276366059
GB1,AA,Boosting Ensemble,UCB,385,0.4963224339450172,0.012802023992410457
