Protein,Encoding,Model,Acquisition,Timestep,Mean,Std
GB1,AA,Boosting Ensemble,GREEDY,384,0.2974514533930447,0.01749235270958481
GB1,AA,Boosting Ensemble,GREEDY,385,0.35060987192614346,0.01749085709249607
GB1,AA,Boosting Ensemble,GREEDY,386,0.3860729048670377,0.017763853415846763
GB1,AA,Boosting Ensemble,GREEDY,387,0.4001638702203625,0.01822889492868819
GB1,AA,Boosting Ensemble,GREEDY,388,0.42072149038073614,0.019396920663325917
GB1,AA,Boosting Ensemble,GREEDY,389,0.44000805721063385,0.019464272749250982
GB1,AA,Boosting Ensemble,GREEDY,390,0.4528316964418184,0.020005070263258592
GB1,AA,Boosting Ensemble,GREEDY,391,0.4581779796157388,0.0199816163618218
GB1,AA,Boosting Ensemble,GREEDY,392,0.4616628911623626,0.02021852877282385
GB1,AA,Boosting Ensemble,GREEDY,393,0.4669069459478441,0.020518091268320632
GB1,AA,Boosting Ensemble,GREEDY,394,0.48279102693816156,0.019844724706289386
GB1,AA,Boosting Ensemble,GREEDY,395,0.4873088667500901,0.019819430636511145
GB1,AA,Boosting Ensemble,GREEDY,396,0.49133421750214534,0.01962928382780651
GB1,AA,Boosting Ensemble,GREEDY,397,0.4957656810844858,0.019666890000047132
GB1,AA,Boosting Ensemble,GREEDY,398,0.5010366323933662,0.019119943052272485
GB1,AA,Boosting Ensemble,GREEDY,399,0.5103621737510918,0.019319628264461125
GB1,AA,Boosting Ensemble,GREEDY,400,0.5132129815747625,0.019100296657912148
GB1,AA,Boosting Ensemble,GREEDY,401,0.5182188642329004,0.019431306688485438
GB1,AA,Boosting Ensemble,GREEDY,402,0.5253424907545166,0.020231681417634637
GB1,AA,Boosting Ensemble,GREEDY,403,0.5310798645848644,0.02028831052314444
GB1,AA,Boosting Ensemble,GREEDY,404,0.5360488647509616,0.020250410802634213
GB1,AA,Boosting Ensemble,GREEDY,405,0.5416074555754585,0.020537594859967853
GB1,AA,Boosting Ensemble,GREEDY,406,0.5473365725664516,0.021157539363443653
GB1,AA,Boosting Ensemble,GREEDY,407,0.5526425808001689,0.020697718273860338
GB1,AA,Boosting Ensemble,GREEDY,408,0.5536891937067806,0.020600541426948588
GB1,AA,Boosting Ensemble,GREEDY,409,0.5629516547001894,0.019800402099377785
GB1,AA,Boosting Ensemble,GREEDY,410,0.5663820738152021,0.020139505523302337
GB1,AA,Boosting Ensemble,GREEDY,411,0.5672695378816819,0.020040760839353074
GB1,AA,Boosting Ensemble,GREEDY,412,0.5745406960931889,0.01946462954940309
GB1,AA,Boosting Ensemble,GREEDY,413,0.578214856925642,0.019200137743859588
GB1,AA,Boosting Ensemble,GREEDY,414,0.5827569997855154,0.01920315546572362
GB1,AA,Boosting Ensemble,GREEDY,415,0.5841619539603977,0.0190318732922595
GB1,AA,Boosting Ensemble,GREEDY,416,0.5866796273433308,0.018823994123789357
GB1,AA,Boosting Ensemble,GREEDY,417,0.5969279473449305,0.020404664010318284
GB1,AA,Boosting Ensemble,GREEDY,418,0.6007742134742087,0.020494693170869726
GB1,AA,Boosting Ensemble,GREEDY,419,0.6053773456395622,0.019875620089664398
GB1,AA,Boosting Ensemble,GREEDY,420,0.6053773456395622,0.019875620089664398
GB1,AA,Boosting Ensemble,GREEDY,421,0.6060298544286242,0.01982815282502939
GB1,AA,Boosting Ensemble,GREEDY,422,0.6066891711404809,0.019925113599866092
GB1,AA,Boosting Ensemble,GREEDY,423,0.6077732968526879,0.019699220496978673
GB1,AA,Boosting Ensemble,GREEDY,424,0.6077732968526879,0.019699220496978673
GB1,AA,Boosting Ensemble,GREEDY,425,0.6077732968526879,0.019699220496978673
GB1,AA,Boosting Ensemble,GREEDY,426,0.6105148557888846,0.019506742737736164
GB1,AA,Boosting Ensemble,GREEDY,427,0.61134931940958,0.0195363406583091
GB1,AA,Boosting Ensemble,GREEDY,428,0.6118009034129779,0.019526097476669984
GB1,AA,Boosting Ensemble,GREEDY,429,0.6120471741519717,0.0195249106776115
GB1,AA,Boosting Ensemble,GREEDY,430,0.6145298592248085,0.019730200925479693
GB1,AA,Boosting Ensemble,GREEDY,431,0.6179455646893617,0.019865920416976598
GB1,AA,Boosting Ensemble,GREEDY,432,0.6209123878371756,0.01937290135322539
GB1,AA,Boosting Ensemble,GREEDY,433,0.6220973954346796,0.019358981567468604
GB1,AA,Boosting Ensemble,GREEDY,434,0.6267173838421236,0.019395850798159475
GB1,AA,Boosting Ensemble,GREEDY,435,0.6270641938394481,0.019355586446023854
GB1,AA,Boosting Ensemble,GREEDY,436,0.6270641938394481,0.019355586446023854
GB1,AA,Boosting Ensemble,GREEDY,437,0.6301960135807748,0.019642447974581614
GB1,AA,Boosting Ensemble,GREEDY,438,0.630338064766907,0.01960208057218361
GB1,AA,Boosting Ensemble,GREEDY,439,0.6331604857427537,0.019118062821063132
GB1,AA,Boosting Ensemble,GREEDY,440,0.6331604857427537,0.019118062821063132
GB1,AA,Boosting Ensemble,GREEDY,441,0.6359290851573272,0.018976976219431698
GB1,AA,Boosting Ensemble,GREEDY,442,0.6372432610163676,0.01901073858219463
GB1,AA,Boosting Ensemble,GREEDY,443,0.6386067878155777,0.019036597872327924
GB1,AA,Boosting Ensemble,GREEDY,444,0.639449760536375,0.018894060122339816
GB1,AA,Boosting Ensemble,GREEDY,445,0.639449760536375,0.018894060122339816
GB1,AA,Boosting Ensemble,GREEDY,446,0.6395957505500245,0.01888145360462013
GB1,AA,Boosting Ensemble,GREEDY,447,0.6395957505500245,0.01888145360462013
GB1,AA,Boosting Ensemble,GREEDY,448,0.6395957505500245,0.01888145360462013
GB1,AA,Boosting Ensemble,GREEDY,449,0.6412914646492718,0.018741785240635394
GB1,AA,Boosting Ensemble,GREEDY,450,0.6412914646492718,0.018741785240635394
GB1,AA,Boosting Ensemble,GREEDY,451,0.6412914646492718,0.018741785240635394
GB1,AA,Boosting Ensemble,GREEDY,452,0.6451140504284513,0.019363489411571195
GB1,AA,Boosting Ensemble,GREEDY,453,0.6451140504284513,0.019363489411571195
GB1,AA,Boosting Ensemble,GREEDY,454,0.6451140504284513,0.019363489411571195
GB1,AA,Boosting Ensemble,GREEDY,455,0.6463874856787859,0.01938988784647333
GB1,AA,Boosting Ensemble,GREEDY,456,0.6498161464130845,0.01941769384561383
GB1,AA,Boosting Ensemble,GREEDY,457,0.655037428906287,0.019522781747314262
GB1,AA,Boosting Ensemble,GREEDY,458,0.6590622540717772,0.019477104784890755
GB1,AA,Boosting Ensemble,GREEDY,459,0.6590622540717772,0.019477104784890755
GB1,AA,Boosting Ensemble,GREEDY,460,0.6606128541724827,0.019384925957793446
GB1,AA,Boosting Ensemble,GREEDY,461,0.6606128541724827,0.019384925957793446
GB1,AA,Boosting Ensemble,GREEDY,462,0.6615655128663028,0.01935083286858056
GB1,AA,Boosting Ensemble,GREEDY,463,0.6625420690434952,0.019245179785313083
GB1,AA,Boosting Ensemble,GREEDY,464,0.6633490394041782,0.019168464216547672
GB1,AA,Boosting Ensemble,GREEDY,465,0.6633490394041782,0.019168464216547672
